GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,Category A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>Sub-Category Example A-1,2010,,<a href='http://www.sacmeq.org/statplanet'>Example source</a>,,,,,,y=[2000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Example indicator XMain-1 (i),,Example description indicator 1,,0=[0xBD0026][10000] 1=[0xF03B20][8000] 2=[0xFD8D3C][6000] 3=[0xFEB24C][4000] 4=[0xFED976][2000] 5=[0xFFFFB2],,,,,
[DEBUG YEARS] Continent, Region, Country 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.801,,,,,,,,77.97,,,,,,,,,,,,,,,,,,,,,,,,79.618,,,,,,,,,,,,,,,,,90.54,,,,,,,,,,,,,,,,,,,,,,,,97.335,,,,,,,,,,,,,,,,,,,70.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.178,,,,,,,,,,,,,,,,,,,97.854,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,,,,,,50.578,97.508,,104.563,68.581,,101.124,,102.299,100.758,,,,,,,109.038,,,97.696,,118.075,101.16,,102.559,,,,103.359,,76.362,71.713,90.063,83.372,,119.72,,,41.392,,103.911,109.671,,,,105.697,,,98.707,,,,,,,109.406,112.487,,,101.44,,76.042,,,,,,,,,,,,,102.96,93.459,,,110.597,,,122.954,,,,,100.226,,,,,,103.174,,,97.167,,,,,,97.707,112.287,138.199,,,,,,,,90.981,,,69.807,,,84.613,99.797,,,,,101.132,,,81.783,,,,,,,104.589,109.868,66.161,88.091,,,,75.587,,,106.989,,,,,,,120.875,,,,,101.535,,,,114.364,101.907,,94.699,87.611,102,109.056,,,,,,,,,,,,100.092,,,100.5,86.622,108.242,,100.586,,,,,,,,,,84.727,97.608,,,,,,98.601,101.525,,,,,,,,,,,,105.686,,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,,,,,,,,,48.875,100.424,101.788,106.285,76.576,,100.38,112.456,101.556,100.742,96.05,95.672,,,,109.334,110.331,,96.967,96.926,,,99.63,,102.005,,,,102.645,96.293,74.502,72.126,,83.365,,119.072,,,41.126,102.858,106.816,110.125,,,,106.156,,103.562,99.292,101.316,101.122,,,101.935,73.469,111.736,113.123,104.817,,102.044,,71.062,101.956,,109.42,104.809,100.339,,,,94.64,89.69,,,100.139,,58.881,,106.78,,,,,98.57,102.943,,99.143,,,106.121,101.683,98.466,101.451,100.208,,97.312,90.351,,,,,100.662,111.095,139.712,,,100.934,99.823,,,94.201,87.643,107.345,,66.531,87.922,102.877,83.231,99.867,107.636,,100.668,107.516,100.975,,,78.716,,,,,98.524,,102.839,,60.52,87.65,,97.614,98.98,77.829,,,108.432,,104.609,97.924,108.293,99.001,103.765,129.422,,,99.362,97.636,95.28,,,,115.451,103.7,,89.843,,102.59,112.749,,,,99.547,,,104.831,104.435,,,122.691,101.226,99.262,96.069,100.72,88.235,109.15,,98.661,,,,,105.845,91.497,,,,81.901,97.83,,,,,,99.081,108.794,,,,84.2199854904233,,,,,,,,102.857,,,,,
