CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,45.36,77.36,71.3,,46.62,,78.2,77.52,74.37,76.26,82.41,81.1,69.88,74.45,74.7,64.84,78.53,74.67,80.9,75.35,55.2,80.6,63.13,,76.7,51.1,74.08,,78.59,75.01,51.28,47.24,,51.24,81.83,73.6,,,49.96,79.96,72.93,74.85,59.5,55.14,,80.24,,76.68,78.33,80.08,78.34,,,79.12,55.31,78.8,73.32,76.33,70.97,74.63,50.17,58.32,76.2,,70.16,81.02,82.8,60.93,56.36,75.26,81.01,59.23,,80.5,74.83,71.39,49.6,46.34,67.73,59.76,,72.86,,76.08,81.54,62.63,58.45,,73.29,79.23,81,82.5,73.46,84.58,73.29,71.1,53.34,62.2,74.7,72.4,,76.08,72.8,47.99,47.19,,,77.37,80.74,,61.18,46.36,74.35,71.06,48.32,8.03,67.8,58.6,75.3,76.74,67.87,,66.32,77.98,,70.85,49.01,,58.66,,61.92,80.57,,81.24,72.47,48.66,47.12,,81.37,74.96,63.96,74.54,,76.84,61.01,72.28,73.15,70,77.95,80.3,76.23,,,74.8,72.25,47.45,74,73.6,72.88,72.79,84,,72.9,56.78,74.8,77,41.01,80.1,77.33,79.76,64.11,49.94,57.35,82.72,74.88,,71.47,49.23,82.04,82.62,75.39,67.73,76.45,,56.98,56.36,,72.8,72.26,74.7,71.72,67.86,,,46.97,73.52,75.69,80.23,,79.52,79.01,70.21,69.32,,,,42.17,44.41,,,,69,,,80.92,81.5,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,41825,74361,70083,,43564,,78.2,73766,71186,76257,79.93,78.33,67137,74451,74382,61.29,78526,68.99,77.91,75353,58343,80.6,63129,,74488,50646,70187,,78591,71.59,50373,46901,57077,51515,79.41,68976,,,49299,77.01,71286,70984,61846,53578,,77738,,74809,76.64,80081,75.05,,,76.9,53572,78.8,70945,73356,68.24,69532,48738,55942,70.79,,70156,77.76,79.23,59.9,53928,71362,78.22,57908,,77.53,74827,67741,53268,45836,67734,59123,,70294,,71.85,79.72,61255,67406,,71237,76.7,78.91,79.72,71017,81.34,70552,63564,52819,62.2,76.55,66134,,70.58,70649,50484,54442,,,72.2,77.75,,56509,50991,72495,71062,45635,80.3,67.8,56499,71317,74264,67873,,64186,74887,,68695,47645,,58783,,61686,78.24,,78.86,69644,46413,45896,,78.76,73346,63907,74.54,,74294,61.01,70072,70508,69494,73.89,76.87,73179,,,70479,65.38,43103,74,73.6,72878,72793,84,,71119,54067,72695,77,41882,77934,73.18,76.12,64105,48365,55765,79.34,70946,,71472,50751,79.86,79.99,72382,63538,68.09,,56225,59757,,72801,68477,72558,69971,63916,,,46312,67.79,76417,78.04,,77.04,74663,66.99,69319,,,,42041,43319,,,,69,,,76323,81.5,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,45.23,71.27,68.81,,43.86,,72.5,70.1,67.77,71.3,77.12,75.1,63.79,68.94,72.94,64.62,72.44,63.31,74.57,71.8,50.06,75.26,59.7,,72.03,50.45,66.39,,73.99,68.3,49.17,44.83,56.53,48.96,76.64,65.5,,,47.09,73.89,69.63,67.34,56.33,53.2,,75.49,,69.12,74.5,75.93,71.56,,,74.44,52.46,74.5,68.58,70.59,67.29,65.01,47.28,53.84,65.2,,65.18,74.15,75.24,58.51,54.01,68.05,74.96,57.57,,75.4,72.06,64.27,46.7,43.5,61.32,57.06,,68.02,,67.53,77.85,60.65,,,68.32,73.98,76.69,76.55,67.62,77.7,70.92,60.2,51.31,57,72.85,64.9,,64.87,68.58,47.2,44.8,,,66.74,74.45,,58.24,45.72,70.04,69.72,46.21,76.2,62.8,55.47,68.2,71.92,66.7,,60.08,71.95,,66.6,45.55,,56.71,,61.15,75.53,,76.09,66.96,47.89,45.47,,75.95,73.3,62.4,66.64,,71.73,56.69,67.91,67.93,63.74,69.57,73.3,76.37,,,67.7,58.99,45.62,68.8,68.73,68,66.34,77.4,,70.16,54.75,69.6,69.1,38.52,76.1,69.02,72.18,61.62,46.73,52.33,75.77,67.28,,64.57,48.14,77.4,76.95,72.71,59.97,68.76,,55.44,53.33,,68.82,64.72,70.6,67.28,60.12,,,45.26,62.08,73.59,75.43,,74.19,70.96,63.85,65.88,,,,41.71,44.82,,,,63,,,72.66,74.6,,,
,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life Expectancy at Birth (Total),,Description Life Expectancy at Birth (Total),,0=[0xBD0026][84] 1=[0xF03B20][68] 2=[0xFD8D3C][52] 3=[0xFEB24C][38] 4=[0xFED976][20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male Life Expectancy at Birth,,Description Male Life Expectancy at Birth,,0=[0xBD0026][78] 1=[0xF03B20][68] 2=[0xFD8D3C][61] 3=[0xFEB24C][49] 4=[0xFED976][18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female Life Expectancy at birth,,Description Female Life Expectancy at Birth,,0=[0xBD0026][85] 1=[0xF03B20][73] 2=[0xFD8D3C][66] 3=[0xFEB24C][52] 4=[0xFED976][8.03],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
