GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,6.314569,5.555833,,,,,,,5.57,,,,,,,,,,,,,,,,5.930125,,,,,,,,,,,,,,,,,,,5.660133,,,,,,,,,,,,5.4825,5.394166,,,,5.266667,,,6.108333,,,,,,,,,,8.55,11195,,,,,5.478333,5.475833,5.576083,,1.744417,,,,,,,,,,,,,,,5.518333,,,,,,,,,,,16.9425,,,,,,,,,,,,5.403833,,6.851725,,,,,6.218333,,,,,,,,,,,5595,,,,,35.16333,,,,,,,,,,,,,,,,,,13.78667,5.525833,,,,,5.3675,3.925083,,,,,,,,,,,,,,,,,,5.328333,,6.029167,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,68.6248041060111,,,,,45.6,,,29.4697582497699,65.5852852576167,,27.3958949472298,29.2735817644019,,,15.0144518163306,106.622746666403,,,,40.1638882006385,,,,55.6348810229151,,,74.3344666243363,,,,,66.2862944313319,,,,,15.5774956024373,12.278660445352,38.8141817866424,,,,57.7001749607796,,,,156.250226905357,13.7051091076112,,,53.254340924477,,,15.8116985562784,88.1948323364943,75.5783299029697,27.2217146337749,,,4.30170181798261,,,55.1511025379175,60.7488840329218,,,69.9381139493231,59.7442,131.935742971888,,125.049358456644,,16.9838230125753,,,,,,68.0623115007407,,74.0786320565052,41038,46.4359252441362,95.2234596372062,,,34.8296543359112,,105.939926843039,,122.01887930094,,,62.1819974003914,,,,,,,,,,,,,,,,38.2894548556261,,,,,,47.2449912710949,27.0392415921452,,,,,,75.7933933933934,,,,,,53.8,,31439,207.499324663052,,110052,,19.301923184681,,,,,66.5385224387935,,38.1844509004912,46.848226843951,64.5867178580691,37.5859336729553,54.1224589321011,,,,33.9045822102426,69.7065037329756,,,,,,,,,,,,,84.0653153153153,,,,,43.3168254987269,48.4400956426127,76.247857151795,,,,60.7646394722529,25.6141855599756,,,29.6882146286594,,,,,,,65944,30.8511576756135,,,,,,,40869,,57.0183209555028,45.7192058081368,,,,,,146.7,102.463099752679,,,,,,,,,,,
,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,45.106375,137.69058333,66.573875,,2.7907061667,,2.7,0.9995,535.06183333,,1.54995,0.9386272758,0.8240333333,1,0.3759999792,49.0854,2,249.29532917,0.9386272758,2,615.69913197,1,43.055428333,,1.8357953849,4.62439525,1.8139328466,,1.6949566667,1.8363833333,615.69913197,563.5625,3807.8333333,615.69913197,1.4857316667,103.50242971,,,615.69913197,508.77666667,8.27825,1756.2308483,461.77458364,615.69913197,,285.68469483,,7.1117428333,1,0.9276813082,34.56925,,,6.97624,177721,2.7,16.033083333,1,3.39525,1,615.69913197,8.1526333333,14.677583333,,1.969625,0.9386272758,0.9386272758,615.69913197,11.395091667,2.0245166667,0.9386272758,0.266786406,,0.8969819638,2.7,7.38561,1387.4013333,615.69913197,177995,16.937891667,,14.213168333,,237.14583333,72.335293333,43.055428333,7855.15,,1972,0.9386272758,4.1397166667,0.9386272758,39.043516667,113.906805,709,119.52333333,70.326216667,1.54995,0.3044146667,39.007733333,,0.5851666667,1507.8441667,6.1094841667,1,,,4,0.9386272758,,1256755,44.088141667,3.8,11.77,615.69913197,0.92918331,1,209.51416667,25.185808333,9.5603975,1,,1021.8675,0.9386272758,,9.8044191667,12.775111667,,6.1094841667,,68.239370833,0.9386272758,,1.8896138992,11.80925,615.69913197,92.3381,,7.7991716667,0.3844999975,49.500691583,1,,1,2.5707725,3119.0733333,3.3833333333,39.088983333,3.9671083333,0.9386272758,3.64,,,1.53328375,24.6199,333.941925,2.7,2.7,2.7,3.013152,,,3.75,615.69913197,11.6615,5.3425833333,1804195,1.6949566667,1.0756165215,0.758509403,4.8381416667,8736.611111,6.1094841667,0.9386272758,70.63545,,0.8340842642,6.1094841667,8.2624283333,1.502155,46,1.2377916667,37.813655833,,1,615.69913197,,1.5991323724,6.2989,1.186225,0.4187829167,1.04,,,1454.8271667,4.1304416667,3.6725,0.618056845,,1,11.3393,124625,129075,,,155.71833333,2388.0191667,0.0383012024,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,6.009312,4.679167,,,,,,,4.713333,,,,,,,,,,,,,,,,5.537125,,,,,,,,,,,,,,,,,,,4.9172,,,,,,,,,,,,4.7225,4.609167,,,,4.5,,,6.308333,,,,,,,,,,,8.47,,,,,4.769166,5.199167,4.7275,,1749,,,,,,,,,,,,,,,4665,,,,,,,,,,,24.1275,,,,,,,,,,,,4.62925,,6.41225,,,,,5.4975,,,,,,,,,,,4.7775,,,,,87.37583,,,,,,,,,,,,,,,,,,14.90167,4.7275,,,,,4.98,3.039333,,,,,,,,,,,,,,,,,,5.093333,,5.636667,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,73.7798321220186,,,,,43.5,,,31.0217682814219,65.2919752953091,,29.304353405647,23.6915052317271,,,15.1031189462403,111.685563835196,,,,36.3275604214786,,,,59.1686347112815,,,74.6842772170669,,162.561440491875,,91.6628988057907,72.4892385395153,,,,,16.0692253881548,11.2017571334305,29.6299746403518,,283.745256330642,,58.7523909214562,,,,155.757454638693,11.7290634309834,,,59.5453710136113,,,17.0818214897671,100.653093046268,79.9889288036411,25.6012835940634,,,5.50440638763998,,,64.215465864406,61.2911303270002,,,71.9371798665073,60.8982,86.9535908737361,,109.86662100435,,13.4701885924417,,,,,,105.762813116115,,86.3870513502223,43409,39.58376877523,,,,43.9785062588369,,110.994304823938,,106.480666908023,,,64.8479261859817,,,,,,,,,,,,,,,,39.7531526379487,,,,,,47.1996817084116,30.131513777771,,,,,,73.3821022727273,,,,,,61.1,,33435,208.209333462484,,,,20.862607574017,,,,,67.1622600665136,,35.7428952862337,47.8266832192113,70.7775693761967,39.9890664860155,29.3507327407343,,,,30.3480337078652,49.1314116019093,,,,,,,,,,,,,89.8265986773507,,,,,46.2423683424626,50.8218063185629,69.7388303750648,,,,69.1122945392477,25.3790576981785,,,28.9939657262379,,,,,,,64965,25.8545474455892,,,,,,,43661,,60.4722392859938,41.4931113494148,,,,,,155.5,87.1981303512144,,,,,,,,,,,
,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,3.0000525028,150.63333333,58.738958333,,0.3928235175,,2.7,0.9995,504915,,1.5918283333,12.38,0.7737996867,1,0.3759999625,46.905651667,2,46.12762,36.3,2,589.95177457,1,41.259365,,1.7596675833,4.22588,1.1605166667,,1.6736016667,1.7603583333,589.95177457,447.76583333,3744.4166667,589.95177457,1.4834630833,98.1575,,,589.95177457,460.2875,8.2789583333,1426.0374583,442.45883594,589.95177457,,257.22916667,,6.3632856667,1,0.52,32.281166667,,,6.7008266667,177721,2.7,15.266591667,1,3388,1,589.95177457,7.3619304167,14.074666667,,1.9868166667,5.34,5.9,589.95177457,10.6431,1.3898166667,1.76,0.2312902502,,295.53,2.7,6.3946533333,1236.83175,589.95177457,150.51916667,16.765666667,,13.385015,,214.40166667,70.958333333,41.259365,,,1620,0.7,3.800075,1736.21,36.55,130.90530067,709,78.303333333,60.3667,1.5918283333,0.30475564,20.837566667,,0.5898333333,1516.1316667,5.5282841667,1,,,4,,,1088.2796667,31.072683333,3.924375,11.77,589.95177457,0.39,1,188.47583333,23.99265,9.13604175,1,,840.82833333,,,9.6044158333,11.874583333,,5.5282841667,,65.9757875,1.98,,1.8682491667,10.581916667,589.95177457,21886,,7.5450975,0.3844999975,45.046666667,1,,1,2.0735916667,2726.49,2.93,40.89305,3.4754,180.1,3.64,,,0.8875575833,9.7050833333,312.31409167,2.7,2.7,2.7,2.9476868333,,,3.75,589.95177457,10.0308,5.2621916667,1563618,1.6736016667,,,4.8156491667,7318,5.5282841667,149.4,64.450118333,,0.4016064257,5.5282841667,7.9498681667,1.4498133083,45.25,0.776625,41.3593875,,1,589.95177457,,1.4920553705,6.2983075,1.138725,0.26072425,0.978033333,,,1240.3058333,2.4495416667,3.6725,0.6038235942,,1,10.471916667,94.491666667,127.5175,,,135.88166667,1862.0691667,0.0236791148,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,5.49297,4.713333,,,,,,,4695,,,,,,,,,,,,,,,,5.282667,,,,,,,,,,,,,,,,,,,5.039933,,,,,,,,,,,,4.7875,4.64,,,,4.583333,,,8.481667,,,,,,,,,,,7.664166,,,,,4.746666,4925,4.8825,,1.541417,,,,,,,,,,,,,,,4.728333,,,,,,,,,,,,,,,,,,,,,,,4.631667,,6.2875,,,,,5.4,,,,,,,,,,,4.8775,,,,,,,,,,,,,,,,,,,,,,,15.1225,4.834167,,,,,4.989167,3.044583,,,,,,,,,,,,,,,,,,5.55,,5.264167,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,51.862724787166,85.1798352286876,,,,,38.2,,,14.2365604182963,62.1292248588078,,30.3698768081167,21.1646807976991,,,20.1805397650197,114.620538427982,,,,31.7589534545877,,,,77.8594854955153,,,82.8396313563451,,151.277211394303,,97.4989306509921,77.685461756795,,,,,14.6706440183842,9.82302511031296,22.2092375394326,,,,55.784323940225,,,,153.183013676459,10.510683036119,,,65.1305929103759,,,17.9815263307023,67.2583648318003,86.1746945024356,23.7205429261387,,,4.13903079367789,,,74.8883230016034,64.7382843998871,,,56.9044513468485,60.3165,81.9564054560043,,107.884824757837,,11.2801678443371,,,,,,84.3599946051847,,89.1599579635249,47859,29.5197578803106,,,,48.7628761678386,,113.024836708461,,98.3404286531017,,,59.716058147079,,,,,,,,,,,,,,,,38.9039418449882,,,,,,45.3519521800844,33.50557392073,,,,,,77.4913407821229,,,,,,65.7,,36003,215.09272025219,,,,22.2463958749868,,,,,64.8279899382575,,28.7151281864267,43.8702776994643,66.0818579506653,40.5950939318757,32.9337774152148,,,,27.5427553444181,40.4910971564689,,,,,,,,,,,,,83.5252570666125,,,,,48.5203657209357,55.7152386633215,91.1482503696402,,,,76.283135062056,27.7334331824633,,,24.0488464112044,,,,,,,61051,24.4240387368867,,,,,,,46279,,62.844066741316,36.0396078718881,,,,,,142.595679012346,78.7851213282248,,,,,,,,,,,
,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,3.0000300003,148.93291667,57.70735,,0.2290400833,,2.7,0.9995,490.84678575,,1.34738,12.2,0.797075,1,0.375999965,43.892115833,2,26.020549583,35.77,2,583.66937235,1,36.313285833,,1.7340558333,3.6507633333,1.0779916667,,1.4848058333,1.6818791667,583.66937235,352.35083333,2946.25,583.66937235,1.3846166667,93.176666667,,,583.66937235,419295,8.2898166667,1140.9629417,437.74708747,583.66937235,,232.5975,,6.1605825833,1,0.51,31.698416667,,,6.6044591667,177721,2.7,14.265475,1,3.38875,1,583.66937235,6.837275,13.88175,,1.443675,5.19,5.84,583.66937235,10.200158333,1.2975,1.73,0.2049064427,,273.06,2.7,6.0652691667,1095.3255,583.66937235,142.40083333,16.6545,,13.003474167,,186.78916667,70.904290833,36.313285833,,,1471,0.66,3.44935,1703.1,35.404466667,120.9908625,709,75.4375,58.731841667,1.34738,0.303348835,17.362491667,,0.5809166667,1539.45,4.6079616667,1,,,4,,,1018.1771667,16.444175,2.8131916667,11.77,583.66937235,0.39,1,151.85333333,21.057258333,7.91846,1,,789.9925,,,9.5271066667,11.543583333,,4.6079616667,,58.009549167,1.95,,1.5124208333,9.4480833333,583.66937235,21.88605,,7.0734008333,0.384499995,41.111525,1,,1,1.4379716667,2177.8625,2.6641666667,29.470658333,3.2792916667,175.31,3.64,,,0.7167943333,5.7848333333,301.52981667,2.7,2.7,2.7,2.5593716667,,,3.75,583.66937235,5.9123,5.0263416667,981.4825,1.4848058333,,,3.7169416667,7608.333333,4.6079616667,146.41,58.994605,,0.4015661523,4.6079616667,7.6348941667,1.4513125,42.616666667,0.5623333333,31.364334454,,1,583.66937235,,1.2635184282,6.2516783333,1.1059083333,0.151865,0.828683333,,,1083.0086667,1.8616583333,3.671125,0.6108361142,,1,9.4418333333,62.916666667,115.87333333,,,129.28083333,1314.4975,0.0121112889,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,6.954918,5.6825,,,,,,,5.586667,,,,,,,,,,,,,,,,6.142958,,,,,,,,,,,,,,,,,,,6.261175,,,,,,,,,,,,5.9575,5.581666,,,,5.658333,,,,,,,,,,,,,,8.705833,,,,,6.255833,4065,6.86025,,2.373667,,,,,,,,,,,,,,,5.598333,,,,,,,,,,,22445,,,,,,,,,,,,5.576667,,7.191667,,,,,5.888333,,,,,,,,,,,6.358333,,,,,,,,,,,,,,,,,,,,,,,14.6975,6.400833,,,,,6.614167,3.356441,,,,,,,,,,,,,,,,,,7.0525,,6.3525,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,54.6140923950179,135.003146664453,,,,,35.3,,,16.9937161815924,60.4593941827573,,32.715978323265,16.9605824034617,,,12.1714657548549,119.029731587617,,,,32.8120078058651,,,,61.502911417787,,,95.7356377196901,,134.247082847141,,,80.3643910446307,,,,,14.4684301811934,8.44944068124139,17.8460513905795,,,,58.5511705685619,,,,,10.5674802080952,,,67.4768420837549,,,19.0271939421355,58.8328622924741,92.4490253609052,26.1805118994163,,,8.41981510119123,,,77.8431737753772,62.6240222408508,,,43.4057474659947,59.6606,83.951800232288,,109.722613559628,,11.3452176738095,,,,,,90.7061938292945,,92.3120600608617,53076,29.095183215904,,,,58.1656914783927,,116.268322792954,,86.6607883377757,,,62.9007467104238,,,,,,,,,,,,,,,,35.0296672066573,,,,,,46.513698630137,31.1120145658228,,,,,,77.6748502994012,,,,,,68.2,,36176,235.691493266737,,,,24.6770165523712,,,,,67.1214795715986,,23.1870534351145,40.9694887719358,64.0317936923609,41.9490366624977,39.4328445879042,,,,27.9351274787535,30.538704343905,,,,,,,,,,,,,71.9202478555019,,,,,48.4879561072219,55.7744372380596,85.8244446641027,,,,78.3920084144033,25.2740298600748,,,10.2061174528152,,,,,,,69905,25.3297878466641,,,,,,,49.26,,64.9650282199287,34.0225789956823,,,,,,153.452685421995,52.8520578420467,,,,,,,,,,,
,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,2.5000225002,104.49891667,54.748933333,,0.1280291667,,2.7,0.9996625,414.0415,,1.2778633333,10.59,0.8602528333,1,0.3759999675,41.794168333,2,13.229876667,30.96,2,511.55243027,1,35.433173333,,1.5,3.3241966667,1.0051,,1.4100408333,0.1778886667,511.55243027,302.74666667,2624.0833333,511.55243027,1.3634683333,82.591466667,,,511.55243027,412.26666667,8.314175,1036.6864167,383.65999151,511.55243027,,207.68916667,,5.4341611667,1,0.47,27.144916667,,,5.7986716667,177721,2.7,13.774583333,1,3.3914833333,1,511.55243027,6.3577058919,12038,,1.4033,4.59,5.12,511.55243027,9.7889508333,1.2628,1.5,0.1636351435,,240.71,2.7,6.0495125,1004.0165833,405745,140375,15.70115,,11.7053025,,152.64666667,66.5,35.433173333,,,1170,0.63,3.19165,1542.95,37.119558333,108.77905667,709,67.303333333,57.114866667,1.2778633333,0.2994085633,12.809558333,,0.55075,1571.4441667,4.2993491667,1,,,4,,,812.25033333,15.308466667,2.5159425,11.77,511.55243027,0.36,1,137.22166667,17.948066667,7.5994484167,1,,548.40333333,,,8.7158758333,11.29375,,4.2993491667,,56.6919525,1.69,,1.4548475,8.4355,511.55243027,21.884425,,6.4498083333,0.384499995,36.078683333,1,,1,1.319075,2056.8116667,2.4533333333,26.2161,2.6961,154.24,3.64,,,0.30842175,5.1208333333,306.82,2.7,2.7,2.7,2.4621729167,,,3.75,511.55243027,4.9425,4.9699833333,920.7325,1.4100408333,,,3.5663583333,6882.5,4.2993491667,126.66,55.271444167,,0.4010183537,4.2993491667,6.7059558333,1.23601,26.6,0.2955,25.342682861,,1,511.55243027,,1.2319743992,6.0050658333,0.9734083333,0.0814048917,0.651533333,,,1046.08475,1.8294685583,3671,0.640958255,,1,7.9718333333,40.066666667,111.71916667,,,94.156667,1207.9,0.0100023512,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,8.209207,6.3225,,,,,,,6.298333,,,,,,,,,,,,,,,,7.24125,,,,,,,,,,,,,,,,,,,7.19293,,,,,,,,,,,,7.076667,6.310833,,,,6225,,,,,,,,,,,,,,9.24,,,,,7.249166,,9.400666,,3.1015,,,,,,,,,,,,,,,6.296667,,,,,,,,,,,34.38167,,,,,,,,,,,,6.150833,,7.893333,,,,,6.773334,,,,,,,,,,,8.559167,,,,,,,,,,,,,,,,,,,,,,,15.48333,8.73675,,,,,8.026667,3.998025,,,,,,,,,,,,,,,,,,7.810833,,6.438334,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,39.7999585685581,146.423461366396,,,,,36.4,,,17.3274923664332,62.3435139860881,,34.2227763923525,15.8131026971442,,,11.5201168478601,122.321779353611,38.8390977488095,,,38.1637186807435,,,11.2681304103908,48.8611336940935,,,107.99862695264,,144.097681489928,,,82.6015935683695,,,,,16.9269689362595,7.75153784073854,14.3869018285272,,,,58.7955155535829,,,,,11.0095836244303,,,71.352179734602,,,23.0164790919331,66.2999167759863,98.6550235396687,27.6832105467235,,,8.88192350155552,,,80.3421734876073,59.1767033583761,,,,58.4299,78.9608875739645,,113.083234991547,,11.2418328744629,,,,,,117.925715532944,,109.259112529265,56296,28.9213126169648,,,,65.5486441775869,,119.345903037196,,75.2739970700727,,,78.1812978141854,,,,,,,,,,,,,,,,37.1078766257311,,,,,,52.8100961538462,38.1608890254912,,,,,,74.9814207650273,,,,,,74.1,,39288,220.712438432136,,,,27.5736721301001,,,,,73.4599090856138,,22.903893819844,40.7168953042731,59.2412080150282,43.8724860735191,39.170436562236,,,,21.6686147308782,30.1973371041357,,,,,,,,,,,,,72.6663192901258,,,,,48.2817031226502,52.1624041764118,93.2257384185969,,,,80.3983630337685,24.0237553527861,,,4.15567071832579,,,,,,,69354,24.6952147425726,,,,,,,48223,,66.6557496859824,36.1130326246409,,,,,,182.253822629969,67.9721397579356,,,,,,,,,,,
,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,0.8333333333,92.6975,47.662726667,,0.0027502296,,2.7,0.99975,405.90833333,,1.3490325,10.08,0.8827085,1,0.3759999708,40.278318333,2,11.520966667,29.48,2,499.1484259,1,32.427076667,,1.4,2.7722066667,0.9176666667,,1.417375,0.0671708333,499.1484259,249.7575,2450.8333333,499.1484259,1.3724408333,76.853333333,,,499.1484259,396.77333333,8.3514166667,912.826415,374.35709325,499.1484259,,179.72916667,,5.2307560833,0.78333,0.45,26.540666667,,,5.6023666667,177721,2.7,13.59735,1,3.3922083333,1,499.1484259,6.164180648,11.46475,,1.4063333333,4.37,4.99,499.1484259,9.54625,1.3,1.43,0.1199783775,,231.66,2.7,5.8103425,991.4115,278.03910256,141.98916667,15.109733333,,9.4709866667,,125.681425,64.691666667,32.427076667,,,1674,0.62,3.0112916667,1628.93,35.142116667,94.059579167,0.7003775,60.95,51.429833333,1.3490325,0.2984477208,10.821883333,,0.5275833333,1621.4133333,3.627085,1,,,4,,,853.12633333,15.283741667,2.5044041667,11.77,499.1484259,0.35,1,129.76833333,17.386316667,6.419425,1,,448.61263333,,,8.5402358333,9.0243333333,,3.627085,,51.890333333,1.61,,1.5238766667,7.5455916667,499.1484259,21.895258333,,6.3351566667,0.3844999925,31.642683333,1,,1,1.2798416667,1963.0191667,2.2533333333,25.714466667,2.4249833333,151.11,3.64,,,0.2033275833,4.55915,262.18226326,2.7,2.7,2.7,2.4734041667,,,3.75,499.1484259,1.706666667,4.761975,755.21583333,1.417375,,,3.4059,5725,3.627085,124.69,51.251589167,,0.4427719891,3.627085,7.1332683333,1.1824691667,26.6,0.1228587033,24.915175704,,1,499.1484259,,1.2709426284,5.9477958333,0.94575,0.0458450608,0.059602728,,,968.91666667,1.473075,3671,0.63366812,,1,6349,29775,112.11166667,,,40.839166816,864.11916667,0.008665376,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,9.210896,7.134167,,,,,,,7.3775,,,,,,,,,,,,,,,,8.160292,,,,,,,,,,,,,,,,,,,8.270138,,,,,,,,,,,,8.791667,7535,,,,6.858333,,,,,,,,,,,,,,9.651667,,,,,8.225833,,12.20583,,3.4435,,,,,,,,,,,,,,,7.229167,,,,,,,,,,,,,,,,,,,,,,,6.899167,,7.776667,,,,,7.424167,,,,,,,,,,,11465,,,,,,,,,,,,,,,,,,,,,,,16.10667,11271,,,,,10.24417,4.521454,,,,,,,,,,,,,,,,,,8.200833,,6.58,,,,,,,,,,,,,,,,,,,
