GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,4.879583,3.319167,,,,,,,4.1775,,,,,,,,,,,,,,,,2787,,,,,6.033333,,,,,,,,,,,3.7075,,,2.72935,,,,,,,,,,,,3.005833,3.32,,,,2.608333,,,15.74917,,,,,,,,,,7.635409,5.978333,,,,,9.5775,4.98,5.422758,,1.102417,,,,,,,,,,,,,,,2.921892,,,,,,,,,,,4.6575,,,,,,,,,,,,2.98875,,4.943841,,,,,3135,,,,,,,,,,5.955583,10.23912,,,,,8.060833,,,,,,,,,,,,,,4415,4.970833,,,8.52,5.4375,,,,,2605,1.471333,,,,,,,,,,,,,,,,,,3.120425,,2.785833,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,,,,,,,,3.8963,,,1087,0.7541,,,,,,,0.7541,,,,,,,,1.7601,,,,,,,,1.0298,,,,,510249,6.7696,1898.6,,,,,,,,,,,,,,,,,,,,,,,,0.7541,0.7541,,,,0.7541,,,0.7541,,,,,,,,,,,,45.65,9090.4,,,0.7541,3739,0.7541,,87.78,,,,,,,,,,,,,,,0.7541,,,,3.2175,,,0.7541,,,,12623,,,,0.7541,,,,,,,,0.7541,,1.3858,,,,,6.0451,,,,,,,,2.8251,,,0.7541,,,,,,,,,,,,,,,,,,1.3629,0.7541,0.7541,,,7.3161,0.7541,112.99,,,,7.2053,1.0432,,,31.7,,,,,,,,,,,,,,,0.6472,,1,,,,,,,,,,,,,,,,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,5.366042,3225,,,,,,,3345,,,,,,,,,,,,,,,,3.242875,,,,,6.2725,,,,,,,,,,,3.884167,,,2.926058,,,,,,,,,,,,3.010833,3.118333,,,,2.743333,,,9.091666,,,,,,,,,,7.281667,6.085834,,,,,5.9925,4.684166,4.035708,,1.148333,,,,,,,,,,,,,,,,,,,,,,,,,,4.861667,,,,,,,,,,,,2.990083,,5.601967,,,,,3.528333,,,,,,,,,,5.781667,5.396408,,,,,7.831666,,,,,,,,,,,,,,3.871667,3.8325,,,8615,4.24975,,,,,2.893333,1.631917,,,,,,,,,,,,,,,,,,3.611983,,3.214167,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,3.19441148903245,,,,,45.5,,,,,,,,,,,98.1938143852984,,,,,,,,,,,12.0872560319179,,,,,,,,,,6.2012919252129,,,,,,29.3441017369111,,,,,,,,,,,18.0935251798561,18.000292735286,,,,,,,,,,,,,,,,,,,,,,,,24.7125162972621,,72.5693242269687,115575,36.6020127551605,,,,54.6455035471736,,117.493662648402,,,,,39.8292814776452,,,,,,,,,,,,,,,,50.8178091098132,,,,,,49.083836650652,27.6789744210536,,,,,,46.5,,,,,,67.4,,31024,,,48669,,26.5159725067916,,,,,,,,21.8532950505879,,,86.0842166260231,,,,37744,5.56697435732746,,,,,,,,,,,,,,,,,,,48.4171192009865,,,,,34.8141349219073,21.5482604784706,,,,,,,,,,43034,49.3822584422433,,,,,,,76661,,89.8810262248266,,,,,,,25387,75866,,,,,,,,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Exchange Rates to US Dollar,,Description Exchange Rates to US Dollar,,0=[0xBD0026][20000] 1=[0xF03B20][240] 2=[0xFD8D3C][40] 3=[0xFEB24C][7.740583] 4=[0xFED976][4],,,,,48.74,95.81,72.73,,89.4,,2.7,3.78,377.89,,1.11,718,0.8,1,376,69.27,2,2144.5645725,717,2,455.34,1,46.68,,1.36,6.67,1.74,,1.44,1.36,455.34,1230.5,4165,455.34,1.05,76.54,,,455.34,530.27511685,6.83,2044.23,341.5,417.03,,565.24,,5.09,1,717,18.37,,,5.19,177721,2.7,36.21,1,5.48,1,455.34,15375,10.87,,1.93,717,717,455.34,28.065858332,1.69,717,1.42,,719,2.7,8.35,5228.9010965,522.89010965,203.25,42.02,,18.9,,188.07,124.9,46.68,9400,,1170,717,3.78,717,89.33,92.06,709,148.46,75.82,1.11,0.29,44.09,,0.49,1507.5,7.38,1,,,2.45,0.7971408333,,1954.64,146,3.42,12.8,455.34,717,1,261.99,30.29,13.06,1,,1442.84,717,,7.86,29.19,,7.38,,74.65,717,,1.39,20.84,455.34,128.65197899,,5.78,0.3845,84.26,1,,1,2.7,4610,2.89,46.36,2.85,717,3.64,,,2.94,28.78,553.72,2.7,2.7,2.7,2.7307785097,,,3.75,455.34,67.145697334,11.25,3855.68,1.66,0.7170009843,0.7971467945,7.6094583325,14406,8412,717,114.38,,2.7449999998,7.38,7654,1.0861418433,46.583370408,4.37,33.32,,1,455.34,,2.06,6.37,1.32,1.49,2.85,,,1903.52,7.99,3.6725070092,0.62,,1,19.63,1510,97.93,,,207.32,4640.56,32000,,,,,,,1,,,,
,,,Long-Term Government Bond Yield,,Description Long-Term Government Bond Yield,,0=[0xBD0026][87] 1=[0xF03B20][6.71] 2=[0xFD8D3C][4.82] 3=[0xFEB24C][3.79] 4=[0xFED976][1.00325],,,,,,,,,,,,,,,5.039512,3.936667,,,,,,,3.818333,,,,,,,,,,,,,,,,3.232583,,,,,5.711667,,,,,,,,,,,4.8375,,,3.586242,,,,,,,,,,,,3.738333,3.648333,,,,3.2225,,,5.174167,,,,,,,,,,9.123333,8.256277,,,,,5.2325,5.063334,4.311183,,1.33375,,,,,,,,,,,,,,,,,,,,,,,,,,5.826667,,,,,,,,,,,,3.686833,,5.455808,,,,,3.998333,,,,,,,,,,6.120598,4.210149,,,,,9.874166,,,,,,,,,,,,,,4.706666,4375,,,8.703333,3.974333,,,,,3.25,2.202667,,,,,,,,,,,,,,,,,,3.6475,,3.256667,,,,,,,,,,,,,,,,,,,
,,,Total Gross Central Government Debt as a Percentage of GDP,,Description Total Gross Central Government Debt as a Percentage of GDP,,0=[0xBD0026][1200] 1=[0xF03B20][84] 2=[0xFD8D3C][55] 3=[0xFEB24C][35] 4=[0xFED976][21],,,,,,,3.7298498171905,,,,,47.447932433522,,,24.0770363930777,70.524810258186,,43.5874984877707,,,,17.9813448853409,92.0163802565,,,,56.7739952795904,,,,61.0220773564091,,,14.7678237842093,,,,,53.1446678678993,,,,,6.85846916510592,22.8533428175305,58.8055499887913,,,,42.364708718642,,,,97.3312876194972,31.9047730679438,,,41.0453907595398,,,19.7529648499379,18.4233074721437,79.2615620802149,49.5368084797445,,,9.02547550432277,,,,83.5374816525877,,,34.6113643945291,47.6231627711097,52.8624571540501,,141.969927460266,,23.0482425265556,,,,,,25.560695262125,,72.8584888981364,99875,42.0942490851735,32.8444005119132,,,45.952721625026,,115.804046368197,,189.141254380147,,,46.3136110903334,,,,,,,,,,,,,,,,53.3167472674922,,,,,,51.9506588414445,28.2432715580534,,,,,,46.4,,,,,,62.2,,26164,76.6989520482693,,49558,,26.0623047138571,,,,,44.8521451078614,,15.7289607055433,25.0358929050376,58.1477893508173,47.7065874148772,81.143066719643,,,,35494,5.20043649803206,,,,,,,,,,,,,114.568745894153,,,,,27.9324695820394,45.2268037608298,162.022561374779,,,,38.3211978737837,20.6094545157269,,,29.3985786741717,,,,,,,42776,34.4507884591056,,,,,,,68486,,83.5409600333888,44.8672893658887,,,,,,27195,89664,,,,,,,,,,,
