GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,National Accounts,2013,,,"<a href=""#"">Clio Infra</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GDP Per Capita (in 1990 international Geary-Khamis dollars),,Description GDP per Capita,,0=[0xBD0026][32000] 1=[0xF03B20][10000] 2=[0xFD8D3C][5900] 3=[0xFEB24C][4100] 4=[0xFED976][3000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GDP Per Capita (in 1990 international Geary-Khamis dollars),,Description GDP per Capita,,0=[0xBD0026][32000] 1=[0xF03B20][10000] 2=[0xFD8D3C][5900] 3=[0xFEB24C][4100] 4=[0xFED976][3000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GDP Per Capita (in 1990 international Geary-Khamis dollars),,Description GDP per Capita,,0=[0xBD0026][32000] 1=[0xF03B20][10000] 2=[0xFD8D3C][5900] 3=[0xFEB24C][4100] 4=[0xFED976][3000],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GDP Per Capita (in 1990 international Geary-Khamis dollars),,Description GDP per Capita,,0=[0xBD0026][32000] 1=[0xF03B20][10000] 2=[0xFD8D3C][5900] 3=[0xFEB24C][4100] 4=[0xFED976][3000],,,,,,5374.99080986786,3512.58073912872,,1600.00617160552,,,10256.2751353107,10215.0195496832,,25584.4883560418,24095.6762468713,8840.59341985507,,4929.19217432253,1276.23077942672,,13658.5545745568,23556.8230985975,,,,,,5233.02811451417,,6879.05486244342,,,8945.50965967667,1234.09028919806,,2449.88892564781,1179.33674196583,24941.2356256298,,,,,13883.1845589974,8031.94467438438,7062.50470688533,,,,7996.77800997335,,9849.49347069664,,,13096.5857684643,,,23512.6314911578,,,5379.08736266869,5049.55441323921,4266.95811580276,,,,19031.6612065026,,,23290.4832856651,21477.4774024526,,,6171.4842756633,20661.4454356808,1922.39112953442,,14690.7331575804,,4453.58391040741,,,,,,,,8352.68315529696,,3371.60099770164,,,1609.74796556385,22013.1388819188,19170.7834794445,18520.4251229094,3617.03173438471,21934.9033913457,5646.67213691244,11258.1653988753,1140.74800449845,,12348.2387368355,2947.24203846947,,11897.5594800651,,,,,,11003.9291234642,,,675.657732524505,728.237681865664,10094.4888176028,,1058.50920239658,,,,,7715.66502941348,,,,7324.41274207487,,4026.88781165432,2613.02667620586,,,,,24302.6179585142,,18886.1611971745,,519.461838980404,1876.10733253693,,27987.201447295,9819.03748567687,2493.54298196485,,,,,,5773.59548004205,3023.65651393221,10762.4635077914,14279.0475205784,12228.5883782028,,,4652.63706278166,8660.21974919424,,,,,,,,10201.1263892354,1506.8573289543,7337.15824772843,,,29037.561452965,12877.4146254965,17529.4267285635,,,5080.12159047476,16797.4274695114,5360.16253647537,,,,25306.3711282491,25033.2386418536,7951.96310267866,1660.78092485395,9372.20940704224,,,,,,,6374.39471537497,8224.86084284483,4431.91594015736,,,1158.37913778406,4524.21269386779,13746.2612474099,23777.1557576827,,30491.3443807637,11526.327493464,6027.06999397823,,,,,795.368877677043,749.797886346043,,,,,,,,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GDP Per Capita (in 1990 international Geary-Khamis dollars),,Description GDP per Capita,,0=[0xBD0026][32000] 1=[0xF03B20][10000] 2=[0xFD8D3C][5900] 3=[0xFEB24C][4100] 4=[0xFED976][3000],,,,,,5178.86690406704,3466.54258053973,,1591.8653973302,,,9580.69477742519,10004.5972362656,,25255.6388431377,23622.5816902712,8509.49612622293,,4852.57944040755,1223.77738792174,,12678.3106301312,23020.2720479646,,,,,,5193.61151496078,,6456.96385455262,,,8841.37554842748,1179.88496294034,,2352.29189997057,1170.98197496729,24361.0214168335,,,,,13210.0858289699,7308.20313702352,6853.82281123033,,,,7777.78649569584,,9984.23409473684,,,12734.7134225756,,,23275.4890001109,,,5060.67123291912,4947.71393869527,4140.67954532558,,,,18493.069718402,,,22561.7395643661,21244.2073068606,,,5789.4844025209,19789.8454371839,1819.96035323257,,15243.9848269092,,4422.39541830419,,,,,,,,8236.67530380717,,3154.12368519592,,,1602.60916924178,22315.2379912664,18588.762320804,18278.6255800464,3691.41003600965,20963.2002965601,5640.74918858136,10630.071461503,1109.41662419883,,12306.7098909533,3016.97102763591,,11865.0997087161,,,,,,10817.612610332,,,691.554369198183,702.62318820308,9571.14988202516,,1031.31658810615,,,,,7391.75909316809,,,,7214.16536208374,,3925.6879305575,2495.31651419921,,,,,24073.4154840879,,18843.1138491915,,498.152499791941,1783.10578220978,,27893.1990713522,9541.80797445503,2458.56900210931,,,,,,5364.62491814454,2864.40149994999,10356.1754149633,14118.3441788882,11484.215611587,,,4719.35396527865,8328.21267931672,,,,,,,,9858.68181249302,1485.12997789726,7226.7190218304,,,25825.7372068548,12376.8188100054,17292.7405342277,,,4943.15008269713,16928.0226217641,5011.01451270408,,,,23877.5151357944,24538.1947019644,7841.25121295718,1588.14644262643,8768.26204342711,,,,,,,6243.82795092479,7632.86037253572,4104.25713566203,,,1127.33386926232,4313.17588694879,14070.6847362399,23489.3550127138,,29898.6442164918,10650.0950206757,5607.16675221629,,,,,760.257459817009,699.560154240066,,,,,,,,,,,
