GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,Prices and Wages,2013,,,"<a href=""#"">Clio Infra</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation (consumer prices - annual %),,Description Inflation,,0=[0xBD0026][24000] 1=[0xF03B20][27] 2=[0xFD8D3C][16] 3=[0xFEB24C][11] 4=[0xFED976][8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation (consumer prices - annual %),,Description Inflation,,0=[0xBD0026][24000] 1=[0xF03B20][27] 2=[0xFD8D3C][16] 3=[0xFEB24C][11] 4=[0xFED976][8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation (consumer prices - annual %),,Description Inflation,,0=[0xBD0026][24000] 1=[0xF03B20][27] 2=[0xFD8D3C][16] 3=[0xFEB24C][11] 4=[0xFED976][8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation (consumer prices - annual %),,Description Inflation,,0=[0xBD0026][24000] 1=[0xF03B20][27] 2=[0xFD8D3C][16] 3=[0xFEB24C][11] 4=[0xFED976][8],,,,,12.8810408922,3.5,5503,,13342,,2.9,10649,8.1815755436,2.1,3,1.5,5.6824288524,1.3,1.9543010549,8.1266763917,5.8,7.7,2,0.8808002579,2.3073568217,,7.0363831607,,2.1885378523,6.9488765874,5,,,2.4,-0.7642307347,6.4012490242,3.9975519356,1.2753804624,1.8,2.0786647091,,,,1.7,3.5,2.4,,,,5.6,,1,,2.4,1.4,,,2,3.9500787592,3.3,6.9,4,11.7,1.1,,,3,,5.5405123933,1.4,1.6,1.4615440272,5.0475312633,7.0994201669,1.3,10.6,,4.6,3.4365090594,3.9,15.4619810738,2.5178514017,2.0833333333,5.6965110234,,4559,,4.7,5947,13187,5.1,,,-1601,2.6929591096,1.6,12.609508235,-1,5.0139416433,7.1158135968,4105,,4.0201005025,7.9836043898,,-1.1,3.989841464,3.5779867254,,,,4.5,2.3,,9.2467173462,7.4115909288,2.2,4.7391929745,1.1089269067,1.5,,6.2835408743,2.5,4.2,,,10.1496314226,0.7,,1.5,12.7012398224,,4.4700902081,,9.9802413351,2549,,2.5,5706,0.8040730809,11906,,2.5,3.2033963721,13.8811392578,,,3434,6.0161766594,4572,1704,4488,2428,928,-2.4252567516,,,5884,6559,2.3091461911,0.8014488915,1.844272048,0.9889778046,0.7770072688,2.6,,5.3431372549,1.2511475441,6.1,-2.4073028387,16.6352238337,2834,1,1.8,0.9663107516,,5564,1497,6488,,6.9447872953,4.5092369177,1843,0.7,4.3974138315,6.4195650944,3047,,6.7659768024,1.8341693308,,3.5535092977,10.5473894948,4.5,8.68,,,,3.9765528848,9.4,,3078,,1417,6453,,2.809293259,,,11.1748338605,8227,4747,,,,,,,,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflation (consumer prices - annual %),,Description Inflation,,0=[0xBD0026][24000] 1=[0xF03B20][27] 2=[0xFD8D3C][16] 3=[0xFEB24C][11] 4=[0xFED976][8],,,,,-13.2258064516,2.3,5.74,,13721,,2.4,6.27,3.4067668268,-2.1,1.8,0.4,1.4010561483,2.1,2.7955128355,5.4234723617,3.6,12.9,,-1.0800196367,2.1568299615,,4.3611221912,,-0.3901942489,8.0272970311,4.9,,1.0357177427,2.8,2.6081766637,10.9814687714,-0.6625702422,3.0436184794,0.3,0.9832227858,,,9.9524229075,1.7,-0.7,4.2,-0.1255721159,5.0362172413,,7.8,,2.4,,0.4,1,,,1.3,1.6754958729,,1.4,5.2,16243,0.4,,,-0.1,,3.6858397524,1.6,0.1,1.8857075458,4.552384788,1.7312488011,0.2,19.3,,1351,-2.3504109379,1.9,4.6843886898,-1.6513973362,2.9133584285,-0.0146362782,,8672,,4.2,12007,10882,4.8,,,-1706,3325,0.75,9.5737872776,-1.4,-0.6781781293,7.30635449,9251,,3.9693905143,6.8622833459,,3.5,1.1876494534,7.1592144872,7.4282766713,,,10.9,0.4,,8.9567410866,8.422044277,0.6,3.9833110289,2.1993753254,2.1,,2.2209203238,2.5,5.3,,,6.279232928,3.5,,1,3.2516927192,,8.7824132449,,11.6081030805,2116,,2.1,3.7,4.3062200957,12358,,2167,3.9351758996,13.647765064,,,2411,6.918325326,2594,2937,3249,3.45,-903,-4.8632780162,,,5603,11654,10.364834548,-0.7295565177,0.9537537538,-1.6191325015,6.3249533624,2.2,,5.0666323312,-1.0507880911,8.1,31.7571960518,9.2522797808,589,1.6,0.9,7.0909823999,,7111,-238,3418,,-0.1107151507,7.4482342345,1988,-483,2.9208971181,6.4482348115,-846,,0.669681186,1.954869072,,1.4196479273,6.9713706041,3532,6251,,,,13.0172561889,15.9,,2.12,,-324,7064,,4.2505009619,,,5.4077609808,13393,6489,,,,,,,,,,,
